torch.Tensor.erfinv_,68.77059054,
torch.Tensor.exp,73.26253748,
torch.Tensor.exp_,226.2822044,
torch.Tensor.expand_as,88.82307696,
torch.Tensor.expm1,85.02069521,
torch.Tensor.expm1_,75.46107936,
torch.Tensor.exponential_,75.82117319,
torch.Tensor.fill_,63.48308969,
torch.Tensor.fill_diagonal_,61.44673824,
torch.Tensor.fix,90.80066085,
torch.Tensor.fix_,65.41288066,
torch.Tensor.flatten,68.28706241,
torch.Tensor.flip,66.82315016,
torch.Tensor.fliplr,66.9244926,
torch.Tensor.flipud,73.31162572,
torch.Tensor.float,76.26259804,
torch.Tensor.float_power,84.33572245,
torch.Tensor.float_power_,93.2966826,
torch.Tensor.floor,90.31241035,
torch.Tensor.floor_,66.82632113,
torch.Tensor.floor_divide,88.81561708,
torch.Tensor.floor_divide_,67.36286306,
torch.Tensor.fmax,84.41673088,
torch.Tensor.fmin,74.96323991,
torch.Tensor.fmod,85.81247687,
torch.Tensor.fmod_,69.8754344,
torch.Tensor.frac,89.60660148,
torch.Tensor.frac_,71.79137802,
torch.Tensor.gather,10.05593848,
torch.Tensor.gcd,60.97020054,
torch.Tensor.gcd_,57.75903988,
torch.Tensor.ge,56.39229369,
torch.Tensor.ge_,71.4897387,
torch.Tensor.ger,800.3159263,
torch.Tensor.get_device,79.3322947,
torch.Tensor.greater,66.79524827,
torch.Tensor.greater_,10.01534986,
torch.Tensor.greater_equal,69.40894818,
torch.Tensor.greater_equal_,59.35434389,
torch.Tensor.gt,57.77319312,
torch.Tensor.gt_,59.34392691,
torch.Tensor.half,77.99456716,
torch.Tensor.hardshrink,79.25120068,
torch.Tensor.heaviside,64.94582772,
torch.Tensor.histc,74.95323372,
torch.Tensor.hsplit,81.40147924,
torch.Tensor.hypot,76.96508813,
torch.Tensor.hypot_,70.28232622,
torch.Tensor.i0,74.9759388,
torch.Tensor.i0_,65.86240435,
torch.Tensor.igamma,69.42283249,
torch.Tensor.igamma_,63.88700962,
torch.Tensor.igammac,76.12081695,
torch.Tensor.igammac_,69.24470806,
torch.Tensor.index_add,51.36771822,
torch.Tensor.index_add_,66.42426157,
torch.Tensor.index_copy,56.9819386,
torch.Tensor.index_copy_,70.98167634,
torch.Tensor.index_fill,84.81301332,
torch.Tensor.index_fill_,66.34789348,
torch.Tensor.index_select,95.41077685,
torch.Tensor.inner,25.06574941,
torch.Tensor.int,83.48434448,
torch.Tensor.inverse,25.05753779,
torch.Tensor.is_complex,98.34975219,
torch.Tensor.is_conj,83.01289773,
torch.Tensor.is_contiguous,66.24492669,
torch.Tensor.is_floating_point,83.74918818,
torch.Tensor.is_inference,85.79464221,
torch.Tensor.is_pinned,60.76885438,
torch.Tensor.is_set_to,55.72667241,
torch.Tensor.is_shared,57.82780933,
torch.Tensor.is_signed,61.94262862,
torch.Tensor.isclose,76.23739552,
torch.Tensor.isfinite,57.33276558,
torch.Tensor.isinf,51.83605695,
torch.Tensor.isnan,56.24578428,
torch.Tensor.isneginf,67.96430111,
torch.Tensor.isposinf,62.27539587,
torch.Tensor.isreal,50.76333284,
torch.Tensor.kthvalue,73.27168226,
torch.Tensor.lcm,10.06173229,
torch.Tensor.lcm_,57.23462415,
torch.Tensor.ldexp,81.38729167,
torch.Tensor.ldexp_,70.80443788,
torch.Tensor.le,53.24483275,
torch.Tensor.le_,50.75445127,
torch.Tensor.lerp,86.40394688,
torch.Tensor.lerp_,66.31805539,
torch.Tensor.less,67.24915552,
torch.Tensor.less_,57.90398812,
torch.Tensor.less_equal,59.92269778,
torch.Tensor.less_equal_,58.28107929,
torch.Tensor.lgamma,76.76500821,
torch.Tensor.lgamma_,10.00616169,
torch.Tensor.log,85.43538642,
torch.Tensor.log10,67.75872803,
torch.Tensor.log10_,60.27618289,
torch.Tensor.log1p,64.22554636,
torch.Tensor.log1p_,66.9483397,
